Bygningskategori,TEK,Oppvarmingstyper,Nye_oppvarmingstyper,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
default,default,Gas,HP Central heating,0.05,0.075,0.1,0.125,0.155,0.2,0.25,0.32,0.405,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
default,default,Gas,Electric boiler,0.05,0.075,0.1,0.125,0.155,0.2,0.25,0.32,0.405,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
non_residential,TEK69,HP Central heating - Gas,HP Central heating,0.1,0.15,0.2,0.25,0.31,0.4,0.5,0.64,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
House,default,Electricity - Bio,HP - Bio,0.05000000000000001,0.05489399966624506,0.06026702398715424,0.06616595989272855,0.07264228360536448,0.07975250983976313,0.08755868497052324,0.09612892847097518,0.10553802734804411,0.11586808876039388,0.12720925651483028,0.1396604976933675,0.15333046627534666,0.16833845129088154,0.1848154177795572,0.20290514963815903,0.2227655043303301,0.24456979040720098,0.26850827985973025,0.2947898685000813,0.3236438988611177,0.35532216152128887,0.39010109231918205,0.42828418463142015,0.4702046377643042,0.5162282645700118,0.5667566836602499,0.6222308240737581,0.6831347729806452,0.7499999999999984
Apartment block,default,Electricity - Bio,HP Central heating - Bio,0.05000000000000001,0.05489399966624506,0.06026702398715424,0.06616595989272855,0.07264228360536448,0.07975250983976313,0.08755868497052324,0.09612892847097518,0.10553802734804411,0.11586808876039388,0.12720925651483028,0.1396604976933675,0.15333046627534666,0.16833845129088154,0.1848154177795572,0.20290514963815903,0.2227655043303301,0.24456979040720098,0.26850827985973025,0.2947898685000813,0.3236438988611177,0.35532216152128887,0.39010109231918205,0.42828418463142015,0.4702046377643042,0.5162282645700118,0.5667566836602499,0.6222308240737581,0.6831347729806452,0.7499999999999984
residential,default,HP - Electricity,HP - Bio,0.05000000000000001,0.055016300447270426,0.060535866298086556,0.06660918816182641,0.0732918221691962,0.08064489817576824,0.08873567895155192,0.09763817547182219,0.10743382393762158,0.1182122307190268,0.13007199203560058,0.1431215958721113,0.15748041437985788,0.17327979584165806,0.19066426618932683,0.20979285106460688,0.23084053051719736,0.2539998396468285,0.2794826298313685,0.3075220066519166,0.33837446224218665,0.372322221567994,0.4096758240995989,0.4507769644929327,0.4960016182650347,0.5457634810560295,0.600517752938534,0.6607653023917217,0.7270572480302891,0.7999999999999998
Kindergarten,TEK87,Electricity,DH,0.05000000000000001,0.055016300447270426,0.060535866298086556,0.06660918816182641,0.0732918221691962,0.08064489817576824,0.08873567895155192,0.09763817547182219,0.10743382393762158,0.1182122307190268,0.13007199203560058,0.1431215958721113,0.15748041437985788,0.17327979584165806,0.19066426618932683,0.20979285106460688,0.23084053051719736,0.2539998396468285,0.2794826298313685,0.3075220066519166,0.33837446224218665,0.372322221567994,0.4096758240995989,0.4507769644929327,0.4960016182650347,0.5457634810560295,0.600517752938534,0.6607653023917217,0.7270572480302891,0.7999999999999998
Kindergarten,TEK97,Electricity,DH,0.05000000000000001,0.055016300447270426,0.060535866298086556,0.06660918816182641,0.0732918221691962,0.08064489817576824,0.08873567895155192,0.09763817547182219,0.10743382393762158,0.1182122307190268,0.13007199203560058,0.1431215958721113,0.15748041437985788,0.17327979584165806,0.19066426618932683,0.20979285106460688,0.23084053051719736,0.2539998396468285,0.2794826298313685,0.3075220066519166,0.33837446224218665,0.372322221567994,0.4096758240995989,0.4507769644929327,0.4960016182650347,0.5457634810560295,0.600517752938534,0.6607653023917217,0.7270572480302891,0.7999999999999998
Office,TEK87,Electricity,DH,0.05000000000000001,0.055016300447270426,0.060535866298086556,0.06660918816182641,0.0732918221691962,0.08064489817576824,0.08873567895155192,0.09763817547182219,0.10743382393762158,0.1182122307190268,0.13007199203560058,0.1431215958721113,0.15748041437985788,0.17327979584165806,0.19066426618932683,0.20979285106460688,0.23084053051719736,0.2539998396468285,0.2794826298313685,0.3075220066519166,0.33837446224218665,0.372322221567994,0.4096758240995989,0.4507769644929327,0.4960016182650347,0.5457634810560295,0.600517752938534,0.6607653023917217,0.7270572480302891,0.7999999999999998
Office,TEK97,Electricity,DH,0.05000000000000001,0.055016300447270426,0.060535866298086556,0.06660918816182641,0.0732918221691962,0.08064489817576824,0.08873567895155192,0.09763817547182219,0.10743382393762158,0.1182122307190268,0.13007199203560058,0.1431215958721113,0.15748041437985788,0.17327979584165806,0.19066426618932683,0.20979285106460688,0.23084053051719736,0.2539998396468285,0.2794826298313685,0.3075220066519166,0.33837446224218665,0.372322221567994,0.4096758240995989,0.4507769644929327,0.4960016182650347,0.5457634810560295,0.600517752938534,0.6607653023917217,0.7270572480302891,0.7999999999999998
