building_category,building_code,heating_systems,new_heating_systems,2024,2025,2026,2027,2028,2029,2030
non_residential,default,Gas,HP Central heating - Electric boiler,0.2,0.333333334,0.466666666,0.6,0.733333334,0.866666666,1
non_residential,default,Electricity,DH,0.018,0.023,0.027,0.03,0.033,0.036,0.039
non_residential,default,Electricity,HP Central heating - Electric boiler,0.014,0.018,0.021,0.024,0.026,0.029,0.031
non_residential,default,Electric boiler,DH,0.018,0.023,0.027,0.03,0.033,0.036,0.039
non_residential,default,Electric boiler,HP Central heating - Electric boiler,0.014,0.018,0.021,0.024,0.026,0.029,0.031
non_residential,default,HP Central heating - Gas,HP Central heating - Electric boiler,0.2,0.333333333,0.466666667,0.6,0.733333333,0.866666667,1
house,default,HP Central heating - Gas,HP Central heating - Electric boiler,0.2,0.333333333,0.466666667,0.6,0.733333333,0.866666667,1
house,default,Electricity - Bio,HP - Bio - Electricity,0.03,0.065625,0.10125,0.136875,0.1725,0.208125,0.24375
apartment_block,default,Electricity,DH,0.05,0.06,0.06,0.07,0.08,0.09,0.09
apartment_block,default,Electricity,HP Central heating - Electric boiler,0.02,0.03,0.03,0.04,0.04,0.04,0.05
