"area",type_of_building,"2010","2011"
"0 Hele landet","111 Enebolig","1060261","1188802"
"","112 Enebolig med hybelleilighet, sokkelleilighet o.l.","198848","196507"
"","113 Våningshus","44490","50461"
"","121 Del av tomannsbolig, vertikaldelt","203924","230238"
"","122 Tomannsbolig, horisontaldelt","40656","37927"
"","123 Del av våninghus  tomannsbustad, vertikaltdelt","1708","2319"
"","124 Våningshus tomannsbolig, horisontaltdelt","1475","2103"
"","131 Rekkehus","97806","151434"
"","133 Kjedehus inkl.atriumhus","36690","45480"
"","135 Terrassehus","11769","9026"
"","136 Andre småhus med 3 boliger eller flere","109985","146963"
"0 Hele landet","141 Store frittliggende boligbygg på 2 etasjer","58900","55912"
"","142 Store frittliggende boligbygg på 3 og 4 etasjer","165085","295029"
"","143 Store frittliggende boligbygg på 5 etasjer eller over","216743","176849"
"","144 Stort sammenbygd boligbygg på 2 etasjer","12356","8209"
"","145 Stort sammenbygd boligbygg på 3 og 4 etasjer","38147","41901"
"","146 Stort sammenbygd boligbygg på 5 etasjer eller over","35209","13991"
"","159 Annen bygning for bofellesskap","6339","6943"
